 i tirsdags	2458
 i torsdags	2459
-agtigt	266
-bakke	609
-behandler	1843
-borg	244
-hed	1712
-idiot	1159
-inde	83
-kasse	609
-kollegium	111
-løs	263
-mester	497
-passer	1248
-posten	312
-s	77;1365;1711
-side	1791
-sikring	533;2958
-værk	948
beholder (med håndtag i siderne)	1722
beholdning	3098
behov	379
behøve	1075
bekendt	2939
bekendtgøre	835
beklage	406;1054
bekræfte	779
bekvem	633
bekymret	638
belaste	286
belgier	1500
belgisk	1500
belægge	1004
beløb	360
belønning	685
bemærke	719;719;737
bemærke (observere)	760
bemærke (opdage)	186
bemærkning	719
ben	1305
benzin	2072;2159
benægte	796;1179
beretning	481
berettige	955
berolige	583;1006
beruset	988
berømt	2934;2939
berøre (røre ved)	15
besejre	2212
besidde	432;824
besked	210
beskidt	285;285
beskrive	180;382
beskrivelse	180;382
beskytte	837
beskyttelse	837
besparelse	713
bestemme	436
bestemt	436;436
bestige	1830
bestik	3073
bestille	80;447
bestyrelse	667;1138
bestyrer	667
bestå	839
besvare	992
besvarelse	992
besvime	1098;1246
besværlig	286;286
besynderlig	979;3001
besætte	731
besøg	293
besøge	60;293
betale	365;659
betale med betalingskort	2042
betale sig	161
betalingskort	2042
betingelse	1096
betjening	792
beton	393
betræk	3020
betvivle	2980
betyde	16;17;17;17
betydning	17
betændelse	2940
bevare	473
bevidst	2998
bevidsthed	2998
bevilge	779
bevilling	659;779
bevis	683
bevise	683
bevæge	840
bevæge mus (it)	2408
bevæge sig	840
bevægelse	840
beværtning	3044;3188
bh	1983;1984
bibliotek	1094;1095
bid	1093
bide	1093
bide i sig	18
bifalde	1010
biker	1702
bikini	1985
bil	579
bille	1076
billede	634;634
billet	440
billig	631;631;3088
binde	812;841
binde noget om halsen	1986
binde sig til noget	841
bindende	841
bindestreg	1250
binding	841
bio-	1783
biograf	310
biolog	1783
biologi	1003;1783
biologisk	1783
bip	907
bip-spil	1414
bistand	1808
bitter	254
bjerg	1032
blad	294;580
blande	429
blande sig i noget	1042903
blande sig udenom	1286
blandet med (noget der slører eller forstyrrer)	1332
blandt andet	795
blank	430;522
blanket	275;275;3092
blind	581;581
blink	1298;1326
blinke	1326;3021
blinke (alarm)	1298
blinklys	3021
blive	198;473;582;827
blive CI-opereret	2177
blive afhængig af	443
blive afsløret	1146
blive chokeret	961
blive dårligere (til noget)	2162
blive døv	96
blive forbavset	1856
blive færdig	2976
blive gammel	483
blive god til noget	399
blive gravid	1110
blive grebet (af noget)	443
blive hjemme	582
blive i lang tid	1850
blive medlem	90;750
blive meget overrasket	961
blive mindre	874
blive mørk	331
blive optaget (f.eks. på en uddannelse)	768
blive skuffet	1793
blive stille	583
blive stirret på	1304
blive student	239;2110
blive syg	132;2924
blive taget i	442
blive taget på fersk gerning	737
blive til noget	698
blive tilbage	582
blive uvenner	535
blive ved	403
blive væk	263
blod	584
blodskam	1041403;1058402
blokade	3063
blokere	3063
blomkål	1893
blomme	1894
blomst	534;1408
blot	858;877
blunde	1043
bluse	1052
blyant	465;1160
blå	510
blåøjet	2996
blæse	109
blød	451;451
bløde	584
bo	63
bog	294
bogstaver	1366
boks	609;1844
bold	520;721;2335
bolig	63
bolle	1947
bolle udenom	448
bolsje	1911
bombe	1239;1406
bonde	136
bondsk	136
bonus	604;797
booke	731
bor	2941
bord	587
bordet fanger	443;1044305
bordtennisbold	2335
bore	2941
boremaskine	2941
borg	279
borger	1019;1449
borgmester	497;1838
bornholmer	1008
bornholmsk	1008
bort	263
bortvise	985
botanik	534
botanisk	534
bouillonterning	2324
brand	778
brasilianer	1622
brasiliansk	1622
bravo	1010
bred	52;568
bremse	1007;2942
brev	440
briller	303
bringe	1186
brite	2413
britisk	2413
bro	588
brochure	362
brokke sig	1141
brombær	3135
bror	259
brug	589
bruge	589
bruge håndalfabet	1366
bruge joystick	1413
bruge mange penge	1255
bruge tegnsprog	1382
bruger	589
brun	386
bruse over (om væske)	1526
brusebad	475
bruser	475
brutto	433
bryde	398
bryde sammen	3090
bryde sig om	1205
brygge (sb.)	701
bryllup	107;958
bryst	590;590
bryster	591
brystholder	1983;1984
brystsvømning	140
brædder	2326
brække	398
brække (noget)	398
brække sig	944
brænde	778;1180
brændevin	274
bræt	587;2326
brød	103
brøle	1034
bud	210
budding	1904
budget	1005;3022
buk	1971
bukser	635
bulgarer	1603;1604
bulgarsk	1603;1604
bum	907
bunke (sb.)	1341
bur	1154
burde	969
bureau	514;2034
bureaukrati	2034
burger	3140
bus	570;1433
busk	2943
butik	426
by	165
bygge	344
bygning	344;458
byld	2940
bytte	198;827;1698
båd	322
både og	12
bål	778
bånd	460;2107
bånd (videobånd)	7
båndoptager	2107
bæ	762
bæger	108
bæk	1303
bælg	2329
bælt	1303
bælte	592
bær	3182
bære	1839;2294;2295
bære ørering	2050
bøde	1772
bøf	3138
bøfsandwich	3140
bøje	1840
bøje sig (for)	1256
bøjning (grammatik)	1840
bølge	2118
bølgegang	2118
bøn	407
bønne	998;2329
børn	773
børste	2046
børste tænder	1196
bøvs	2944
bøvse	2944
c	2367
cafeteria	167
café	167
camping	1377;1746
campingvogn	1377
canadier	1623;1624
canadisk	1623;1624
celle	998
cement	2038
censor	996
center	924
centiliter	3104
centimeter	1116
central	924;924
centrifuge	1029
centrifugere	1029
centrum	924;924
certifikat	1821
champagne	1526
champignon	2013
chance	970
charme	2945
charmerende	2945
chauffør	579
chef	169;1372
chili	254
chips	1909
chok	961;2404
chokeret	2404
chokolade	171
ciffer	680;1066
cigaret	736
cirka	636;2932
cirkel	1368
cirkle om	1368
cirkus	2105
citron	1897;1948
civil	654
civilbetjent	1083402;1095104
cl	3104
cm	1116
cochlear implant	2177
cola	3137
computer	1107
cookies	463
cornflakes	1898
creme	1743
cykel	593;687
cykle	593;687
d	886;895;2368
da (konj.)	615
dag	323
dagen efter	141
dagen før	336
dagen inden	336
daglig	637
dagligstue	1816
dal	3023
dam	2021
dame	83
damp	1944;2946
dankort	2042
dans	1744
danse	1744
danser	1744
dansk	172
dansker	172
datalogi	1107
datamaskine	1107
datamatik	1107
dato	594;681;2401
datter	94
dav	3077
de	76
deafpower	1009602;1055103
debat	478
december	1206
deciliter	1953
dej	160
dejlig	633;2971
dekoration	1734
dekorere	1734
del	92;940
dele	92;940;2111
dele (en gruppe)	1149
delegeret	1164
deltage	750
dem	76
dementere	796
demokrat	1138
demokrati	1138
demonstration	966
den	76
den anden	485;573
den anden (i kongenavn)	485
den attende	1421;1468
den elvte	1401
den femte	1851
den femte (dato)	1162
den femte (i kongenavn)	1162
den femtende	1418;1434
den fjerde	1741
den fjerde (dato)	1165
den fjerde (i kongenavn)	1165
den fjortende	1416;1435
den første (af flere)	1224
den første (dato)	669
den første (i kongenavn)	669
den mindste smule	767
den niende	1855
den niende (dato)	1412
den niende (i kongenavn)	1412
den nittende	1422;1469
den ottende	1854
den ottende (dato)	1465
den ottende (i kongenavn)	1465
den sekstende	1419;1466
den sjette	1852
den sjette (dato)	1463
den sjette (i kongenavn)	1463
den syttende	1420;1467
den syvende	1853
den syvende (dato)	1464
den syvende (i kongenavn)	1464
den tiende (dato)	1400
den tolvte	1388;1451
den tredje	1183
den tredje (dato)	1195
den tredje (i kongenavn)	1195
den trettende	1389;1452
den var god (om noget smart eller morsomt)	1065
dengang	363
denne	76
depositum	841
der er ikke mere (af noget)	1077
derefter	641
deres	77
derfor	17;710;948
derhjemme	774;1827
dermed basta	666
derop	804
derudover	712
design	770
designer	770
desinficere	1330
dessert	718
desværre	406;479;617;638
det	76
det behøves  ikke	878
det berører mig ikke	3008
det er	595
det er bare ærgerligt	406
det er da også rigtigt	657
det er dumt (af nogen)	2162
det er for meget! (udbrud)	278
det er for sent	443
det er klogt	1125
det er løgn	1108
det gør at	17
det hele	433
det hemmelige politi	1083402;1095104
det kolde bord	1051505;1058704
det må jeg sige	1010
det ser sødt ud	540
det siger mig ikke noget	3008
det var tæt på	611
det ved jeg godt	702
det vil jeg blæse på	3008
det vil sige	17;404
det viser at	17
detalje	92
detaljeret	1137
dette	76
dialog	723
diamant	430
diarre	2930
difference	530
dig	76;654
din	76;77
diplom	275;388
direkte	844;1025
direktør	1372
dirigent	378;2078
dirigere (et kor eller orkester)	2078
dis	1944
discipel	792
disciplin	2974
disk	587
diskrimination	1732
diskriminere	1732
diskussion	478
diskutere	478
diskvalificere	985
disse	76
distrikt	1336
dit	76
diverse	959
dividere	2111
division	2111
djævel	328
dl	1953
dobbelt	1238
dobbeltaftale	1754
dobbeltmoral	1123802;1216403
dog (i modsætning til)	49
doktor	994
dokument	275;275
dokumentar	683
dokumentation	683
dokumentere	683
dom	640
dominere	253
dommer	640
domstol	41
domæne	1336
dosis	3098
dot	1956
doven	909
drab	1027
dragt	1052
drama	661;661;1039
dramatisk	661
drastisk	278
dreje sig om	2182;1012904;1042603
dreng	173
dreng (søn)	88;91
drenget	173
dressing	1889;1941;1942
drift	403
drik	108
drikke	108;668
drikke af kop	1017
drikke af krus	1357
drikke fuld	181
drikke igennem	668
drikke under bordet	181
drille	343
drinks	108
dronning	340
droppe	2030;2030
drukne	1260
drysse	1801;1916
dræbe	1027
dræbt	1736
dræbte	1736
drøm	348;348
drømme	348;348
drømme om	814
drømme om (ønske sig)	548
du	76
du får ret og jeg får fred	383
duft	1114;1737
dufte	1114;1737
dug	3020
dug (fugt)	1944
dukke	1135
dum	329;329;392
dum til	3130
dumme sig	2162
dummy	1159
